arabic,bangla,english
هٰذَا,এটি (পুং),This (masculine)
ذٰلِكَ,ঐটি (পুং),That (masculine)
هٰذِهِ,এটি (স্ত্রী),This (feminine)
تِلْكَ,ঐটি (স্ত্রী),That (feminine)
هٰؤُلَاءِ,এগুলো,These (people)
ذٰلِكُمْ,সেটি (পুং),That (for you)
أُوۡلَٰئِكَ,তারা,Those (people)
ٱلَّذِي,যে/যিনি (পুং),Who/which (masculine)
ٱلَّتِي,যে/যিনি (স্ত্রী),Who/which (feminine)
ٱلَّذِينَ,যারা (পুং),Who/those who (masculine plural)
لَا إِلٰهَ,(কোনো) ইলাহ নেই,There is no god
إِلَّا ٱللَّهَ,আল্লাহ ব্যতীত,Except Allah
كَلَّا,কখনোই না,Never/No indeed
لَنْ,করবে না,Will never
لَمْ,করেনি,Did not
مَا,না,Not/what
لَيْسَ,না,Is not
بَلَىٰ,হ্যাঁ অবশ্যই,Yes indeed
غَيْرُ,না ব্যতীত,Other than
دُونَ,ছাড়া ব্যতীত,Without/besides
إِلَّا,ব্যতীত,Except
نَعَمْ,হ্যাঁ,Yes
أَلَا,সাবধান!,Beware!/Do not
هُوَ,সে (পুং),He/it
هُمْ,তারা (পুং),They (masculine)
أَنْتَ,তুমি (পুং),You (masculine)
أَنْتُمْ,তোমরা (পুং),You (masculine plural)
أَنَا,আমি,I
نَحْنُ,আমরা,We
هِيَ,সে (স্ত্রী),She/it
هُنَّ,তারা (স্ত্রী),They (feminine)
أَنْتِ,তুমি (স্ত্রী),You (feminine)
أَنْتُنَّ,তোমরা (স্ত্রী),You (feminine plural)
هُمَا,তারা (যুগল),They (dual)
أَنْتُمَا,তোমরা দুজন,You (dual)
لَهُ,তার তাকে (পুং),For him/to him
لَهُمْ,তাদের (পুং),For them (masculine)
لَكَ,তোমার (পুং),For you (masculine)
لَكُمْ,তোমাদের (পুং),For you (masculine plural)
لِي,আমার,For me
لَنَا,আমাদের,For us
لَهَا,তার (স্ত্রী),For her
لَهُنَّ,তাদের (স্ত্রী),For them (feminine)
لَكِ,তোমার (স্ত্রী),For you (feminine)
لَكُنَّ,তোমাদের (স্ত্রী),For you (feminine plural)
لَهُمَا,তাদের (যুগল),For them (dual)
لَكُمَا,তোমাদের (যুগল),For you (dual)
فَوْقَ,উপরে,Above
تَحْتَ,নিচে,Below/under
بَيْنَ,মাঝখানে,Between
خَلْفَ,পেছনে পরে,Behind/after
أَمَامَ,সামনে,In front of
وَرَاءَ,পিছনে,Behind
يَمِينٌ,ডান দিকে,Right side
شِمَالٌ,বাম দিকে,Left side
حَوْلَ,চারপাশে,Around
حَيْثُ,যেখানে-সেখানে,Where/wherever
أَيْنَمَا,যেখানে-সেখানে,Wherever
هُنَا,এখানে,Here
هُنَالِكَ,সেখানে,There
مَن,কে? যে,Who?/whoever
مَتَى,কখন? যখন,When?
أَيْنَ,কোথায়? সেখানে,Where?
كَيْفَ,কিভাবে? যেমন,How?
كَمْ,কতগুলো?,How many?
أَيٌّ,কোনটি?,Which?/whichever
أَنَّى,কোথা থেকে?,How?/from where?
مَاذَا,কি? কি তা?,What?
لِمَ,কেন?,Why?
لِمَاذَا,কেন?,Why?
لَوْلَا,যদি না কেন নয়,If not/why not
لِمَن,কাদের জন্য?,For whom?
هَلْ,কি?,Is it?/Do?
ذُو,মালিক অধিকারী (পুং),Owner/possessor (masculine)
ذَاتُ,মালিক অধিকারী (স্ত্রী),Owner/possessor (feminine)
أُوْلُوا,মালিকগণ অধিকারীগণ,Owners/possessors
أَهْلُ,পরিবার; জনজাতি,Family/people
آلُ,পরিবার; অনুসারী,Family/followers
سُبْحَانَ,মহিমা হোক দোষমুক্ত,Glory be to
نِعْمَ,কী চমৎকার!,How excellent!
بِئْسَ,কত নিকৃষ্ট!,How wretched!
رَيْبٌ,সন্দেহ,Doubt
سُوْءٌ,মন্দ,Evil/bad
مِثْلُ,অনুরূপ সদৃশ,Like/similar to
مَثَلٌ,উদাহরণ সাদৃশ্য,Example/parable
مِمَّنْ,তার চেয়ে যিনি,From those who
قَبْلَ,আগে,Before
بَعْدَ,পরে,After
حِيْنَ,সময় কাল,Time/when
إِذْ,যখন (অতীতের জন্য),When (past)
إِذَا,যখন (ভবিষ্যতের জন্য),When (future)
ثُمَّ,তারপর ফলে,Then
فَ,তখন সুতরাং,So/then
بَلْ,বরং তবে,Rather/but
عِنْدَ,নিকট কাছে,Near/with
لَدَى,নিকট কাছে,Near/with
لَدُنْ,নিকট কাছে,Near/with
لَئِنْ,অবশ্যই যদি,If indeed
إِنَّ,কিছুই নয়… শুধুমাত্র,Nothing... only
